PC1,PC2,action
-0.3066458,-0.01920624,2
-0.30282438,-0.025194895,2
-0.30087027,-0.030605236,2
-0.2964799,-0.03638517,1
-0.2978465,-0.041519392,2
-0.29383296,-0.04768459,2
-0.29089314,-0.05367644,2
-0.28832293,-0.059142224,2
-0.2864015,-0.06497589,2
-0.2827812,-0.0704381,2
-0.28095978,-0.07595014,2
-0.27582434,-0.08166426,2
-0.2741927,-0.087105185,2
-0.26719153,-0.09237381,0
-0.26886883,-0.097320005,2
-0.2662492,-0.10242382,2
-0.26120687,-0.10784356,0
-0.2628801,-0.11283052,2
-0.25863206,-0.11846363,2
-0.25508398,-0.12332181,0
-0.2567612,-0.12831777,2
-0.25288796,-0.13321616,2
-0.24628168,-0.13784607,0
-0.24808206,-0.14240295,0
-0.24974291,-0.14731717,2
-0.2461355,-0.15264149,2
-0.24371336,-0.15784608,2
-0.2368932,-0.16264875,1
-0.23864709,-0.1668475,2
-0.23546915,-0.17194107,2
-0.23153976,-0.1765591,2
-0.22908722,-0.18125299,2
-0.22292732,-0.18624322,0
-0.22488289,-0.19057238,2
-0.22122873,-0.19492348,0
